location,bedrooms,bathrooms,price,site
Imara Daima,2,1,30000,Property24
Kilimani,2,2,230000,Property24
Westlands,2,2,350000,Property24
Riverside,3,4,200000,Property24
Lavington,3,3,120000,Property24
Kileleshwa,1,1,130000,Property24
Parklands,4,4,150000,Property24
Spring Valley,4,4,450000,Property24
Westlands,3,3,160000,Property24
Parklands,4,4,300000,Property24
Westlands,2,2,222750,Property24
Syokimau,3,4,80000,Property24
Imara Daima,2,1,30000,Property24
Parklands,3,3,250000,Property24
Kilimani,4,3,105000,Property24
Kileleshwa,2,3,285000,Property24
Westlands,3,3,150000,Property24
Spring Valley,2,2,175000,Property24
Spring Valley,2,2,175000,Property24
Westlands,3,3,160000,Property24
Westlands,2,2,55000,Property24
Kilimani,2,2,130000,Property24
Karen,2,2,50000,Property24
Westlands,3,2,90000,Property24
Karen,3,2,80000,Property24
Kilimani,2,2,160000,Property24
Westlands,2,2,90000,Property24
Langata,4,4,75000,Property24
Kilimani,2,3,100000,Property24
Langata,3,3,75000,Property24
Peponi,3,3,250000,Property24
Riverside,3,3,220000,Property24
Westlands,3,3,100000,Property24
Parklands,4,5,140000,Property24
Westlands,4,5,250000,Property24
Gigiri,2,2,2000,Property24
Westlands,2,2,70000,Property24
Lavington,2,2,85000,Property24
Gigiri,2,2,301000,Property24
Lavington,3,3,110000,Property24
Lavington,3,3,120000,Property24
Parklands,4,4,300000,Property24
Kileleshwa,4,3,200000,Property24
Kilimani,2,2,80000,Property24
Kilimani,3,3,12000,Property24
Kilimani,2,3,90000,Property24
Westlands,2,2,170000,Property24
Gigiri,2,2,322500,Property24
Westlands,3,2,110000,Property24
Kilimani,3,3,170000,Property24
Karen,2,2,50000,Property24
Gigiri,3,3,310000,Property24
Gigiri,2,2,270000,Property24
Kilimani,3,3,300000,Property24
Lavington,4,4,400000,Property24
Gigiri,1,1,310000,Property24
Gigiri,1,1,235000,Property24
Kilimani,2,2,80000,Property24
Spring Valley,2,2,175000,Property24
Gigiri,1,1,321500,Property24
Gigiri,1,1,270000,Property24
Parklands,4,4,300000,Property24
Kileleshwa,4,5,160000,Property24
Parklands,3,3,125000,Property24
Nairobi West,1,1,28000,Property24
Westlands,3,2,135000,Property24
Lavington,3,4,250000,Property24
Westlands,2,2,150000,Property24
Woodley,2,2,50000,Property24
Kilimani,2,2,250000,Property24
Kilimani,2,3,90000,Property24
Lavington,3,3,110000,Property24
Ngong Rd,1,1,22000,Property24
Kileleshwa,2,3,110000,Property24
Westlands,3,4,150000,Property24
Kilimani,3,3,150000,Property24
Westlands,1,1,120000,Property24
Ngong Rd,1,1,35000,Property24
Kileleshwa,3,3,85000,Property24
Lavington,3,3,100000,Property24
Kilimani,3,3,300000,Property24
Lavington,2,2,150000,Property24
Runda,4,4,350000,Property24
Kilimani,2,2,160000,Property24
South B,1,1,25000,Property24
Westlands,1,1,95000,Property24
Kilimani,3,3,80000,Property24
Kileleshwa,3,4,320000,Property24
Kileleshwa,2,2,62500,Property24
Riverside,2,2,200000,Property24
Gigiri,3,3,400000,Property24
Kileleshwa,3,3,160000,Property24
Kilimani,3,1,28000,Property24
Riverside,4,4,300000,Property24
Lavington,3,3,115000,Property24
Kileleshwa,1,1,50000,Property24
Riverside,2,2,280000,Property24
Ngong Rd,1,1,20000,Property24
Ongata Rongai,2,2,38000,Property24
Westlands,3,4,400000,Property24
Ongata Rongai,2,2,35000,Property24
Kileleshwa,1,1,40000,Property24
Kileleshwa,3,3,76000,Property24
Kilimani,3,3,150000,Property24
Lavington,1,1,40000,Property24
Kileleshwa,1,1,50000,Property24
Kileleshwa,2,3,80000,Property24
Kileleshwa,3,4,170000,Property24
Kileleshwa,3,3,100000,Property24
Milimani,3,3,70000,Property24
Kileleshwa,3,3,160000,Property24
Ngong Rd,1,1,27000,Property24
Lavington,3,2,75000,Property24
Westlands,2,2,350000,Property24
Garden Estate,3,2,120000,Property24
Westlands,3,2,88000,Property24
Westlands,3,3,135000,Property24
Kilimani,2,3,90000,Property24
Ngong Rd,1,1,20000,Property24
Ngong Rd,1,1,22000,Property24
Ngong Rd,1,1,27000,Property24
Westlands,4,4,450000,Property24
Spring Valley,4,4,320000,Property24
Ngong Rd,2,1,30000,Property24
Westlands,4,5,250000,Property24
Kilimani,3,3,280000,Property24
South B,1,1,25000,Property24
Kileleshwa,3,3,100000,Property24
Westlands,3,3,300000,Property24
Kileleshwa,1,1,20000,Property24
Ngong Rd,2,2,11500000,Property24
Lavington,3,3,160000,Property24
Westlands,4,4,200000,Property24
Westlands,4,4,200000,Property24
Kileleshwa,2,3,80000,Property24
Kileleshwa,2,2,75000,Property24
Kilimani,1,1,50000,Property24
Kilimani,2,2,120000,Property24
Kilimani,3,3,115000,Property24
Westlands,3,3,250000,Property24
Kileleshwa,3,1,35000,Property24
Kileleshwa,2,3,80000,Property24
Kilimani,3,3,175000,Property24
Kileleshwa,2,3,150000,Property24
Kilimani,3,4,180000,Property24
Westlands,3,3,130000,Property24
Syokimau,3,3,90000,Property24
Kilimani,3,4,180000,Property24
Westlands,3,3,120000,Property24
Lavington,3,3,300000,Property24
Kilimani,3,4,130000,Property24
Ngong Rd,1,1,22000,Property24
Ngong Rd,2,2,30000,Property24
Kilimani,3,3,120000,Property24
Kilimani,1,1,150000,Property24
