bathrooms,bedrooms,external_features,internal_features,location,nearby,price,title
2,2,"Balcony,Gym,Lift/Elevator,Parking,CCTV,Swimming Pool","Alarm,Backup Generator,En Suite,Fibre Internet,Furnished","Rosslyn, Westlands","Bus Stop,Shopping Centre,Hospital,School",250000,Furnished 2 Bed Apartment with En Suite in Rosslyn
3,3,"CCTV,Lift/Elevator,Balcony,Parking,Electric Fence,Borehole,Swimming Pool,Staff Quarters,Gym,Kids Play Area","Backup Generator,Walk In Closet,Service Charge Included,En Suite","lavington, Lavington","Bus Stop,Golf Course,Shopping Centre,Hospital,Scenic View,School",200000,3 Bed Apartment with En Suite at Lavington
3,2,"Parking,Gym,Balcony,Lift/Elevator,CCTV,Electric Fence,Borehole,Wheelchair Access","Walk In Closet,Backup Generator,En Suite,Fibre Internet,Service Charge Included","School lane, Westlands Area, Westlands","Shopping Centre,School",95000,2 Bed Apartment with En Suite at School Lane
4,4,,,"Rhapta Road, Westlands Area, Westlands",,200000,4 Bed Apartment at Rhapta Road
1,1,"Balcony,BBQ,CCTV,Electric Fence,Borehole,Garden,Swimming Pool,Staff Quarters,Parking,Lift/Elevator,Gym,Gated Community,Kids Play Area,Pet Friendly,Wheelchair Access","Furnished,Fibre Internet,En Suite,Backup Generator,Walk In Closet,Service Charge Included,Alarm,Aircon,Serviced","GTC, Westlands Area, Westlands","School,Scenic View,Hospital,Golf Course,Bus Stop,Shopping Centre",300000,Serviced 1 Bed Apartment with En Suite at Gtc
2,2,"Pet Friendly,Kids Play Area,Gated Community,Gym,Lift/Elevator,Parking,Swimming Pool,Wheelchair Access,Garden,Borehole,Electric Fence,CCTV,BBQ,Balcony","Walk In Closet,En Suite,Fibre Internet,Backup Generator,Service Charge Included","City Park drive, Parklands, Westlands","Shopping Centre,Golf Course,Bus Stop,Hospital,Scenic View,School",160000,2 Bed Apartment with En Suite at City Park Drive
2,2,"Balcony,Gym,Lift/Elevator,Pet Friendly,Kids Play Area,Electric Fence,CCTV","Backup Generator,Service Charge Included",Lavington,"Hospital,Shopping Centre",110000,2 Bed Apartment with Gym in Lavington
1,1,"Balcony,Gym,Gated Community,Kids Play Area,CCTV,Electric Fence,Borehole,Wheelchair Access,Garden,Parking,Pet Friendly,BBQ","Aircon,Alarm,Backup Generator,En Suite,Fibre Internet,Walk In Closet,Furnished","Westlands, Westlands Area","Bus Stop,Shopping Centre,Golf Course,Hospital,Scenic View,School",140000,Furnished 1 Bed Apartment with En Suite at Westlands
3,3,"Balcony,Gym,Lift/Elevator,Parking,CCTV,Swimming Pool","Alarm,Backup Generator,En Suite,Fibre Internet,Furnished",Kileleshwa,"Bus Stop,Shopping Centre,Hospital,School",250000,Furnished 3 Bed Apartment with En Suite in Kileleshwa
3,3,"Garden,Wheelchair Access,Swimming Pool,Borehole,Electric Fence,CCTV,Parking,Kids Play Area,Lift/Elevator,Balcony,Gym","Alarm,Service Charge Included,Walk In Closet,Backup Generator,En Suite,Fibre Internet","Westlands Area, Westlands","Bus Stop,Shopping Centre,Golf Course,Hospital,Scenic View,School",260000,3 Bed Apartment with En Suite in Westlands Area
